time,cycle_id,side,reason,reference_price,fill_price,qty,position_qty,average_price,notional,fee,slippage_cost,p_unsafe,ml_on,gross_pnl,ambiguous_bar
2022-04-01 00:00:00+00:00,1,BUY,Base,45505.9,45528.652949999996,0.006,0.006,45528.652949999996,273.1719177,0.13658595885,0.1365176999999676,,True,,False
2022-04-01 15:00:00+00:00,1,SELL,trailing_stop_same_bar,46096.7,46073.65165,0.006,0.0,45528.652949999996,276.4419099,0.13822095495,0.1382900999999838,,True,3.2699922000000226,True
2022-04-01 16:00:00+00:00,2,BUY,Base,46523.6,46546.8618,0.006,0.006,46546.8618,279.2811708,0.1396405854,0.13957080000000133,,True,,False
2022-04-03 22:20:00+00:00,2,SELL,trailing_stop_same_bar,47106.0,47082.447,0.006,0.0,46546.8618,282.494682,0.141247341,0.1413179999999993,,True,3.213511200000008,True
2022-04-04 00:00:00+00:00,3,BUY,Base,46392.3,46415.49615,0.006,0.006,46415.49614999999,278.4929769,0.13924648844999998,0.13917689999997673,,True,,False
2022-04-05 12:20:00+00:00,3,SELL,trailing_stop_same_bar,46821.9,46798.489050000004,0.006,0.0,46415.49614999999,280.7909343,0.14039546715,0.1404656999999861,,True,2.297957400000072,True
2022-04-05 16:00:00+00:00,4,BUY,Base,45740.5,45763.37025,0.006,0.006,45763.37025,274.5802215,0.13729011075,0.13722149999999966,,True,,False
2022-04-06 14:00:00+00:00,4,BUY,SO1,43932.835439999995,43954.80185771999,0.005,0.011,44941.29370805454,219.77400928859996,0.10988700464429998,0.10983208859997831,,True,,False
2022-04-11 09:55:00+00:00,4,BUY,SO2,41644.6669275,41665.489260963746,0.006,0.017,43785.12743261072,249.9929355657825,0.12499646778289125,0.12493400078246486,,True,,False
2022-04-25 07:00:00+00:00,4,BUY,SO3,38441.231009999996,38460.451625505,0.006,0.023,42396.081569887494,230.76270975302998,0.11538135487651499,0.1153236930300045,,True,,False
2022-05-08 17:00:00+00:00,4,BUY,SO4,33864.893985,33881.8264319925,0.007,0.03,40409.422037712,237.1727850239475,0.11858639251197375,0.11852712894748402,,True,,False
2022-05-12 04:20:00+00:00,4,BUY,SO5,27458.02215,27471.751161075,0.009000000000000001,0.039,37423.805681565,247.24576044967503,0.12362288022483751,0.12356109967500016,,True,,False
2023-11-09 14:10:00+00:00,4,SELL,trailing_stop_same_bar,37322.7,37304.03865,0.039,0.0,37423.805681565,1454.85750735,0.727428753675,0.7277926499997993,,True,-4.670914231034833,True
2023-11-09 16:00:00+00:00,5,BUY,Base,37141.5,37160.07075,0.008,0.008,37160.07075,297.280566,0.148640283,0.14856599999999162,,True,,False
2023-11-09 16:35:00+00:00,5,BUY,SO1,35673.66792,35691.50475396,0.007,0.015,36474.73995184801,249.84053327772,0.12492026663886001,0.12485783771998832,,True,,False
2023-11-10 11:20:00+00:00,5,SELL,trailing_stop,36843.158500000005,36824.73692075001,0.015,0.0,36474.73995184801,552.3710538112501,0.2761855269056251,0.27632368874994423,,True,5.249954533529999,False
2023-11-10 12:00:00+00:00,6,BUY,Base,37098.9,37117.44945,0.008,0.008,37117.44945,296.9395956,0.14846979780000003,0.14839559999998891,,True,,False
2023-11-14 18:40:00+00:00,6,BUY,SO1,35632.751471999996,35650.567847736,0.007,0.015,36432.9047022768,249.553974934152,0.124776987467076,0.12471463015201152,,True,,False
2023-11-15 18:10:00+00:00,6,SELL,trailing_stop_same_bar,36543.1,36524.82845,0.015,0.0,36432.9047022768,547.87242675,0.273936213375,0.2740732499999649,,True,1.378856215848027,True
2023-11-15 20:00:00+00:00,7,BUY,Base,37527.4,37546.1637,0.008,0.008,37546.1637,300.3693096,0.1501846548,0.15010959999996704,,True,,False
2023-11-16 19:10:00+00:00,7,BUY,SO1,36044.317151999996,36062.339310576,0.007,0.015,36853.7123182688,252.43637517403198,0.126218187587016,0.12615511003200663,,True,,False
2023-11-19 23:05:00+00:00,7,SELL,trailing_stop_same_bar,37257.775,37239.146112500006,0.015,0.0,36853.7123182688,558.5871916875001,0.27929359584375,0.2794333124999321,,True,5.781506913468074,True
2023-11-20 00:00:00+00:00,8,BUY,Base,37375.8,37394.4879,0.008,0.008,37394.4879,299.1559032,0.1495779516,0.14950319999997738,,True,,False
2023-11-21 23:55:00+00:00,8,BUY,SO1,35898.708384,35916.65773819199,0.007,0.015,36704.8338244896,251.41660416734396,0.12570830208367198,0.1256454793439625,,True,,False
2023-11-22 18:45:00+00:00,8,SELL,trailing_stop,37073.2025,37054.665898750005,0.015,0.0,36704.8338244896,555.8199884812501,0.27790999424062507,0.2780490187499163,,True,5.247481113906069,False
2023-11-22 20:00:00+00:00,9,BUY,Base,37296.9,37315.54845,0.008,0.008,37315.54845,298.5243876,0.1492621938,0.14918760000000475,,True,,False
2023-11-22 21:35:00+00:00,9,SELL,trailing_stop,37690.6,37671.7547,0.008,0.0,37315.54845,301.3740376,0.15068701880000002,0.1507624000000069,,True,2.849649999999965,False
2023-11-23 00:00:00+00:00,10,BUY,Base,37413.5,37432.20675,0.008,0.008,37432.20675,299.457654,0.149728827,0.14965399999998044,,True,,False
2023-11-24 10:30:00+00:00,10,SELL,trailing_stop_same_bar,37725.8,37706.9371,0.008,0.0,37432.20675,301.65549680000004,0.15082774840000002,0.15090320000000065,,True,2.1978428000000423,True
2023-11-24 12:00:00+00:00,11,BUY,Base,37749.8,37768.6749,0.008,0.008,37768.6749,302.1493992,0.1510746996,0.150999199999962,,True,,False
2023-11-24 15:35:00+00:00,11,SELL,trailing_stop_same_bar,38200.0,38180.9,0.008,0.0,37768.6749,305.4472,0.15272360000000001,0.15279999999998836,,True,3.2978008000000263,True
2023-11-24 16:00:00+00:00,12,BUY,Base,38217.3,38236.40865,0.007,0.007,38236.40865,267.65486054999997,0.133827430275,0.13376054999996267,,True,,False
2023-11-27 16:00:00+00:00,12,BUY,SO1,36706.952304,36725.305780152,0.007,0.014,37480.857215075994,257.077140461064,0.128538570230532,0.12847433306399034,,True,,False
2023-11-28 17:20:00+00:00,12,SELL,trailing_stop_same_bar,37992.5,37973.50375,0.014,0.0,37480.857215075994,531.6290525000001,0.26581452625,0.2659474999999511,,True,6.897051488936137,True
2023-11-28 20:00:00+00:00,13,BUY,Base,38104.7,38123.752349999995,0.007,0.007,38123.752349999995,266.86626644999996,0.13343313322499997,0.1333664499999868,,True,,False
2023-12-01 09:15:00+00:00,13,SELL,trailing_stop_same_bar,38424.0,38404.788,0.007,0.0,38123.752349999995,268.83351600000003,0.13441675800000003,0.13448399999999675,,True,1.9672495500000369,True
2023-12-01 12:00:00+00:00,14,BUY,Base,38578.0,38597.289,0.007,0.007,38597.289,270.181023,0.13509051149999998,0.13502299999997922,,True,,False
2023-12-02 19:05:00+00:00,14,SELL,trailing_stop_same_bar,38914.3,38894.84285000001,0.007,0.0,38597.289,272.26389995000005,0.13613194997500003,0.13620004999996307,,True,2.0828769500000783,True
2023-12-02 20:00:00+00:00,15,BUY,Base,39416.4,39436.1082,0.007,0.007,39436.1082,276.0527574,0.1380263787,0.1379574000000066,,True,,False
2023-12-03 22:20:00+00:00,15,SELL,trailing_stop_same_bar,39813.0,39793.0935,0.007,0.0,39436.1082,278.55165450000004,0.13927582725,0.13934549999998125,,True,2.498897100000002,True
2023-12-04 00:00:00+00:00,16,BUY,Base,39979.8,39999.7899,0.007,0.007,39999.7899,279.99852930000003,0.13999926465,0.13992930000000342,,True,,False
2023-12-04 01:20:00+00:00,16,SELL,trailing_stop_same_bar,40349.8,40329.625100000005,0.007,0.0,39999.7899,282.3073757,0.14115368785000001,0.14122429999998712,,True,2.3088464000000095,True
2023-12-04 04:00:00+00:00,17,BUY,Base,40720.6,40740.9603,0.007,0.007,40740.9603,285.1867221,0.14259336105,0.14252210000000196,,True,,False
