cycle_id,start_time,end_time,start_price,start_equity,end_equity,net_pnl,net_return,exit_reason,max_safety_depth,max_notional,fees,slippage_cost,funding_cost,gross_realized_pnl,ambiguous_bars
1,2020-01-01 00:00:00+00:00,2020-01-03 04:40:00+00:00,7193.024715,2000.0,1996.0543736233362,-3.9456263766637676,-0.001972813188331868,trailing_stop_same_bar,1,569.4,0.5488396059253692,0.5488388939383457,0.0,-3.3967867707382684,1
2,2020-01-03 08:00:00+00:00,2020-01-03 09:05:00+00:00,7201.61901,1996.0543736233362,1998.4520957810737,2.397722157737462,0.001201230882996951,trailing_stop_same_bar,0,299.86949000000004,0.2966135472625,0.2966142949999876,0.0,2.694335705000005,1
3,2020-01-03 12:00:00+00:00,2020-01-05 01:15:00+00:00,7342.069199999999,1998.4520957810737,1999.9781091098737,1.5260133287999906,0.0007635976524138499,trailing_stop_same_bar,0,298.3576,0.2945930712,0.29459359999997103,0.0,1.8206064000000333,1
4,2020-01-05 04:00:00+00:00,2020-01-06 13:50:00+00:00,7478.927594999999,1999.9781091098737,2002.6911803384737,2.713071228600029,0.0013565504623485047,trailing_stop_same_bar,0,304.47240000000005,0.3006639714,0.3006647999999768,0.0,3.0137352000000464,1
5,2020-01-06 16:00:00+00:00,2020-01-06 22:10:00+00:00,7519.788014999999,2002.6911803384737,2004.8045383640513,2.113358025577554,0.001055259066562897,trailing_stop_same_bar,0,297.87809999999996,0.29447564942250004,0.294476324999945,0.0,2.407833675000018,1
6,2020-01-07 00:00:00+00:00,2020-01-07 00:15:00+00:00,7761.618869999999,2004.8045383640513,2007.9158664302063,3.1113280661550107,0.0015519358653757198,trailing_stop_same_bar,0,301.15076,0.296645503845,0.29664642999996793,0.0,3.4079735700000238,1
7,2020-01-07 04:00:00+00:00,2020-01-07 18:25:00+00:00,7902.9495,2007.9158664302063,2010.5624331027414,2.646566672535073,0.0013180665170200445,trailing_stop_same_bar,0,306.60376,0.301786257465,0.30178706999998395,0.0,2.948352930000006,1
8,2020-01-07 20:00:00+00:00,2020-01-07 23:45:00+00:00,8081.748855,2010.5624331027414,2013.5332153018173,2.970782199075984,0.00147758763924144,trailing_stop_same_bar,0,303.96720999999997,0.3006604289490125,0.3006613219749597,0.0,3.2714426280250373,1
9,2020-01-08 00:00:00+00:00,2020-01-08 00:05:00+00:00,8154.975449999999,2013.5332153018173,2015.710775887695,2.1775605858777,0.0010814624607775603,trailing_stop_same_bar,0,307.58581,0.3029743591224999,0.30297505499995986,0.0,2.4805349450000573,1
10,2020-01-08 04:00:00+00:00,2020-01-11 21:40:00+00:00,8307.121485,2015.710775887695,2018.8269729136327,3.1161970259377085,0.0015459544410905135,trailing_stop_same_bar,1,563.38,0.5562149488526049,0.5562160060095485,0.0,3.672411974790528,1
11,2020-01-12 00:00:00+00:00,2020-01-12 06:30:00+00:00,8024.590289999999,2018.8269729136327,2021.694850994849,2.867878081216304,0.0014205665565669712,trailing_stop,0,301.73499999999996,0.29849302628374996,0.29849389249996056,0.0,3.166371107500089,0
12,2020-01-12 08:00:00+00:00,2020-01-14 00:40:00+00:00,8103.3796649999995,2021.694850994849,2024.8904927345468,3.1956417396977486,0.0015806746196762589,trailing_stop_same_bar,0,306.11691,0.3015736553025,0.30157460499993705,0.0,3.4972153950000653,1
13,2020-01-14 04:00:00+00:00,2020-01-14 12:30:00+00:00,8473.77477,2024.8904927345468,2026.6217490661593,1.7312563316124852,0.0008549876340593343,trailing_stop_same_bar,0,301.7966,0.2975965433875001,0.2975971249999657,0.0,2.0288528750000117,1
