strategy,start,end,initial_equity,final_equity,total_return,cagr,max_drawdown,sharpe,sortino,calmar,profit_factor,cycles,worst_cycle_loss,max_safety_depth,max_exposure_fraction_of_initial,max_exposure_fraction_of_cycle_start,time_in_market,ml_off_fraction,equity_floor_hits,fees,slippage_cost,funding_cost,gross_realized_pnl,risk_exits,modeled_liquidations,ambiguous_bars,missed_orders_injected,execution_delay_bars
V1_full,2020-01-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,1825.1044063908328,-0.08744779680458359,-0.013632738436287761,-0.4522257484798007,0.0909202030914469,0.1300739508897844,-0.030145869584196593,0.8852670052013014,323,-0.4518639929869753,5,1.2075,0.7983542988656209,0.35437628336755644,,1,162.16871274596102,162.16875010641107,0.0,-12.726880863206816,1,0,274,0,0
V1_oos,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2306.593037945724,0.15329651897286212,0.032802649263250494,-0.42528183041090717,0.2541437691438836,0.3607490757762426,0.07713155587097757,1.6938832052313497,192,-0.1580187836295267,5,0.75074805,0.747777085276447,0.9900888923309927,,0,81.70958672299533,81.70935075277997,0.0,820.2694305248649,0,0,144,0,0
V2_oos,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2238.257006010494,0.11912850300524691,0.025797443916861784,-0.41630816286198036,0.22879013911656018,0.32383733560065636,0.06196718253015489,1.4463160914549573,202,-0.16206138319023977,5,0.7916018000000001,0.7873623512764355,0.983340217540961,0.006092523750516316,0,83.72476157557323,83.72450952893338,0.0,753.9485734422125,0,0,154,0,0
