scenario,start,end,initial_equity,final_equity,total_return,cagr,max_drawdown,sharpe,sortino,calmar,profit_factor,cycles,worst_cycle_loss,max_safety_depth,max_exposure_fraction_of_initial,max_exposure_fraction_of_cycle_start,time_in_market,ml_off_fraction,equity_floor_hits,fees,slippage_cost,funding_cost,gross_realized_pnl,risk_exits,modeled_liquidations,ambiguous_bars,missed_orders_injected,execution_delay_bars,crash_timestamp
baseline_trade_price_proxy,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2238.257006010494,0.11912850300524691,0.025797443916861784,-0.41630816286198036,0.22879013911656018,0.32383733560065636,0.06196718253015489,1.4463160914549573,202,-0.16206138319023977,5,0.7916018000000001,0.7873623512764355,0.983340217540961,0.006092523750516316,0,83.72476157557323,83.72450952893338,0.0,753.9485734422125,0,0,154,0,0,
taker_fee_x2,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2168.0890851917743,0.08404454259588712,0.018430087209638124,-0.4167900088390655,0.20132604841531357,0.2849420281112523,0.044219119505704146,1.3346920030675442,202,-0.15531873866108303,5,0.7916018000000001,0.7877719003262421,0.9833187043921244,0.006092523750516316,0,163.9684376934378,81.98398852128774,0.0,728.9902551988139,0,0,155,0,0,
taker_fee_x3,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2181.491462435243,0.09074573121762164,0.019851393085504654,-0.41727253930765507,0.2070518045408666,0.2932006443195305,0.04757416607966196,1.4477184011614335,204,-0.12046414433732666,5,0.7916018000000001,0.7881818756542798,0.9832412570563128,0.006092523750516316,0,246.66472090281147,82.22134775544428,0.0,724.375312536331,0,0,158,0,0,
slippage_0.100%,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2209.83895616636,0.10491947808317992,0.02283549537107521,-0.4170757648162473,0.21750322973218814,0.3077927736183167,0.054751431987749115,1.417029005379684,195,-0.15305339100963522,5,0.7916018000000001,0.7878670894511116,0.9831745662949195,0.006092523750516316,0,80.70301582891136,161.40514826173384,0.0,689.0194149496697,0,0,144,0,0,
slippage_0.200%,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2099.712176994044,0.049856088497022055,0.011071109748690633,-0.4234750068830072,0.17398280710440783,0.24622679127692007,0.02614347852587492,1.2090176362449718,192,-0.14496207051364496,5,0.7916018000000001,0.7882129178820433,0.9836026779567671,0.006092523750516316,0,77.23121878032177,308.9217914076372,0.0,532.1200099919627,0,0,140,0,0,
slippage_0.500%,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,1799.3486652158908,-0.10032566739205462,-0.023641218522101992,-0.43090371151175544,0.04183553442312347,0.05913096338328009,-0.0548642722040166,0.5923322174969328,165,-0.15333098897059017,5,0.7916018000000001,0.791754453632616,0.9852419798981137,0.006092523750516316,0,62.64674012517198,626.4540838689438,0.0,187.182648459808,0,0,128,0,0,
signal_delay_4h,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2235.7479644418795,0.11787398222093981,0.025537107117620694,-0.4167559889353042,0.22786551978114844,0.32252486220654253,0.061275921151993304,1.4416160171740242,202,-0.16221375259844983,5,0.7916018000000001,0.7882112778516271,0.9832369544265455,0.006195786864931847,0,83.48019669865222,83.47994390246937,0.0,751.1949669966764,0,0,154,0,0,
api_execution_delay_5m,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2228.633122700159,0.11431656135007962,0.024797643630237287,-0.4158675666079137,0.2248162187558464,0.3184122005288437,0.05962870303280199,1.4206524260496678,209,-0.16392877665897643,5,0.7916018000000001,0.7880959165223436,0.9821354812061132,0.006092523750516316,0,87.41526120360187,87.41500859624033,0.0,752.0922900037611,0,0,151,0,1,
missed_third_order_once,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2242.7108472670543,0.12135542363352725,0.026259016469497576,-0.3535672432812852,0.2277884132492105,0.3227374960380681,0.07426880450179843,1.4670821045284212,200,-0.16179161359938454,5,0.7454582999999999,0.66566515,0.9834628424893295,0.006092523750516316,0,82.48982498329705,82.48957343264945,0.0,757.1674781064961,0,0,152,1,0,
single_5m_gap_-10%,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2238.257006010494,0.11912850300524691,0.025797443916861784,-0.41630816286198036,0.22937723215719139,0.3249738593552079,0.06196718253015489,1.4463160914549573,202,-0.16206138319023977,5,0.7916018000000001,0.7873623512764355,0.983340217540961,0.006092523750516316,0,83.72476157557323,83.72450952893338,0.0,753.9485734422125,0,0,154,0,0,2023-01-21T19:20:00+00:00
single_5m_gap_-20%,2022-04-01T00:00:00+00:00,2026-08-31T23:55:00+00:00,2000.0,2238.257006010494,0.11912850300524691,0.025797443916861784,-0.41630816286198036,0.23144788584134124,0.33037549939324545,0.06196718253015489,1.4463160914549573,202,-0.16206138319023977,5,0.7916018000000001,0.7873623512764355,0.983340217540961,0.006092523750516316,0,83.72476157557323,83.72450952893338,0.0,753.9485734422125,0,0,154,0,0,2023-01-21T19:20:00+00:00
