cycle_id,start_time,end_time,start_price,start_equity,end_equity,net_pnl,net_return,exit_reason,max_safety_depth,max_notional,fees,slippage_cost,funding_cost,gross_realized_pnl,ambiguous_bars
1,2022-04-01 00:00:00+00:00,2022-04-01 15:00:00+00:00,45528.652949999996,2000.0,2002.9951852862,2.9951852862000123,0.0014975926431000097,trailing_stop_same_bar,0,278.04,0.2748069138,0.2748077999999514,0.0,3.2699922000000226,1
2,2022-04-01 16:00:00+00:00,2022-04-03 22:20:00+00:00,46546.8618,2002.9951852862,2005.9278085598,2.9326232736000293,0.0014641189829824874,trailing_stop_same_bar,0,284.688,0.2808879264,0.2808888000000006,0.0,3.213511200000008,1
3,2022-04-04 00:00:00+00:00,2022-04-05 12:20:00+00:00,46415.49615,2005.9278085598,2007.9461240042,2.0183154444000593,0.0010061755142869444,trailing_stop_same_bar,0,282.7482,0.2796419556,0.2796425999999628,0.0,2.297957400000072,1
4,2022-04-05 16:00:00+00:00,2023-11-09 14:10:00+00:00,45763.37025,2007.9461240042,2001.8180168086997,-6.128107195500434,-0.0030519280981901042,trailing_stop_same_bar,5,1501.4961,1.4571929644655175,1.457192161034731,0.0,-4.670914231034833,1
5,2023-11-09 16:00:00+00:00,2023-11-10 11:20:00+00:00,37160.07075,2001.8180168086997,2006.5182252656853,4.700208456985592,0.0023479699041168978,trailing_stop,1,555.4245,0.549746076544485,0.5497475264699241,0.0,5.249954533529999,0
6,2023-11-10 12:00:00+00:00,2023-11-15 18:10:00+00:00,37117.44945,2006.5182252656853,2007.3498984828911,0.8316732172058892,0.00041448575284963596,trailing_stop_same_bar,1,564.1004999999999,0.547182998642076,0.5471834801519653,0.0,1.378856215848027,1
7,2023-11-15 20:00:00+00:00,2023-11-19 23:05:00+00:00,37546.1637,2007.3498984828911,2012.5757089581286,5.225810475237495,0.002603338102234787,trailing_stop_same_bar,1,561.675,0.5556964382307661,0.5556980225319057,0.0,5.781506913468074,1
8,2023-11-20 00:00:00+00:00,2023-11-22 18:45:00+00:00,37394.4879,2012.5757089581286,2017.2699938241105,4.694284865981899,0.002332476162306474,trailing_stop,1,558.8924999999999,0.5531962479242971,0.5531976980938562,0.0,5.247481113906069,0
9,2023-11-22 20:00:00+00:00,2023-11-22 21:35:00+00:00,37315.54845,2017.2699938241105,2019.8196946115104,2.5497007873998427,0.0012639363075868104,trailing_stop,0,303.04,0.2999492126,0.29995000000001165,0.0,2.849649999999965,0
10,2023-11-23 00:00:00+00:00,2023-11-24 10:30:00+00:00,37432.20675,2019.8196946115104,2021.7169808361105,1.897286224600066,0.000939334451318441,trailing_stop_same_bar,0,304.392,0.3005565754,0.3005571999999811,0.0,2.1978428000000423,1
11,2023-11-24 12:00:00+00:00,2023-11-24 15:35:00+00:00,37768.6749,2021.7169808361105,2024.7109833365105,2.994002500400029,0.001480920687109144,trailing_stop_same_bar,0,307.2,0.30379829960000004,0.30379919999995036,0.0,3.2978008000000263,1
12,2023-11-24 16:00:00+00:00,2023-11-28 17:20:00+00:00,38236.40865,2024.7109833365105,2031.079854298691,6.368870962180608,0.003145570412071974,trailing_stop_same_bar,1,534.9904,0.528180526755532,0.5281823830639041,0.0,6.897051488936137,1
13,2023-11-28 20:00:00+00:00,2023-12-01 09:15:00+00:00,38123.752349999995,2031.079854298691,2032.7792539574662,1.6993996587750644,0.0008366976094900114,trailing_stop_same_bar,0,271.25,0.267849891225,0.26785044999998353,0.0,1.9672495500000369,1
14,2023-12-01 12:00:00+00:00,2023-12-02 19:05:00+00:00,38597.289,2032.7792539574662,2034.590908445991,1.8116544885249368,0.0008912204731517104,trailing_stop_same_bar,0,277.90000000000003,0.271222461475,0.2712230499999423,0.0,2.0828769500000783,1
15,2023-12-02 20:00:00+00:00,2023-12-03 22:20:00+00:00,39436.1082,2034.590908445991,2036.812503340041,2.2215948940499857,0.0010919123273518405,trailing_stop_same_bar,0,280.343,0.27730220595,0.27730289999998786,0.0,2.498897100000002,1
16,2023-12-04 00:00:00+00:00,2023-12-04 01:20:00+00:00,39999.7899,2036.812503340041,2038.8401967875411,2.0276934475000417,0.0009955228790941018,trailing_stop_same_bar,0,285.6,0.28115295250000005,0.28115359999999057,0.0,2.3088464000000095,1
17,2023-12-04 04:00:00+00:00,2023-12-04 05:10:00+00:00,40740.9603,2038.8401967875411,2041.580595415991,2.7403986284498387,0.001344096821696894,trailing_stop_same_bar,0,289.89660000000003,0.28670027155,0.286701099999962,0.0,3.0270989000000483,1
18,2023-12-04 08:00:00+00:00,2023-12-04 10:50:00+00:00,41492.635949999996,2041.580595415991,2044.1637976327347,2.583202216743757,0.001265295243569664,trailing_stop_same_bar,0,294.945,0.29188599575625,0.2918867874999632,0.0,2.8750882125000063,1
19,2023-12-04 12:00:00+00:00,2023-12-04 22:10:00+00:00,41626.70295,2044.1637976327347,2047.1456480247098,2.9818503919750583,0.0014587140205830629,trailing_stop_same_bar,0,296.7258,0.29302435802500004,0.29302524999994783,0.0,3.274874750000032,1
20,2023-12-05 00:00:00+00:00,2023-12-05 16:40:00+00:00,42014.096549999995,2047.1456480247098,2049.4171830402847,2.2715350155749547,0.0011096108465789012,trailing_stop_same_bar,0,300.174,0.29538213442499994,0.29538284999998,0.0,2.5669171500000303,1
